FUND,DATE,COMPANY_NAME,TOTAL_SHARES,CHANGES_IN_SHARE,MARKET_CAP,PRICE,PRICE_50D_MOVING_AVERAGE,PRICE_200D_MOVING_AVERAGE
Community Savings Bond Fund,2018-06-04,Nestlé SA,120295,-215,92415778.17,343.29,816.2,434.19
Sustainable Retail Fund,2022-07-31,"Beyond Meat, Inc.",914978,9232,145577234.58,507.53,626.59,301.6
Sustainable Retail Fund,2020-06-16,"The Hain Celestial Group, Inc.",52240,8317,223253984.15,138.27,508.0,62.07
Global Cross Asset Fund,2019-04-07,"Berkshire Hathaway, Inc.",789587,-7367,170293629.27,618.12,138.81,638.42
Community Savings Bond Fund,2020-05-22,"Walmart, Inc.",50988,-1998,107613783.5,888.63,868.45,271.65
Equity Diversified Selection Fund,2020-07-20,"Facebook, Inc.",823151,1821,360160254.27,958.18,204.14,754.05
Subordinated Financials Fund,2017-08-22,Citigroup Inc.,348890,-2026,451412378.0,623.7,797.35,655.64
International Fixed Duration Fund,2020-08-18,Allianz SE,275135,6400,57602746.08,781.53,176.75,307.69
Fixed Maturity 2025 Bond Fund,2021-12-21,BP Plc,481678,6293,479195429.55,473.0,662.19,678.24
Impact Credit Strategies Fund,2019-12-09,"First Solar, Inc.",216034,7595,367512740.86,832.46,750.01,309.21
Sustainable Retail Fund,2020-02-07,"Beyond Meat, Inc.",419124,6602,489786729.52,757.77,787.1,883.85
Subordinated Financials Fund,2021-11-22,"Goldman Sachs Group, Inc.",131349,-7132,404391244.19,585.58,454.55,128.51
Global Short Term Credit Fund,2021-06-24,HSBC Holdings Plc,680790,4829,340253414.42,431.55,174.86,468.38
Target Maturity 2029 Bond Fund,2019-04-17,"Apple, Inc.",611531,2874,446239125.37,653.48,463.08,32.51
Community Savings Bond Fund,2019-08-27,Nestlé SA,228907,2357,166648209.16,567.43,93.86,876.38
Global Short Term Credit Fund,2020-06-27,JPMorgan Chase & Co.,916338,9915,377090557.53,972.76,129.84,337.62
International Fixed Duration Fund,2018-06-06,AXA SA,8490,7995,304142186.93,771.47,709.18,334.86
Impact Credit Strategies Fund,2022-01-13,"SolarEdge Technologies, Inc.",217525,-6271,55961230.24,765.63,52.89,605.39
Fixed Maturity 2027 Bond Fund,2017-05-25,Ford Motor Co.,6963,7607,425969166.46,918.19,848.87,894.91
Subordinated Financials Fund,2020-06-20,Citigroup Inc.,13858,3321,490346512.2,108.77,54.37,618.11
Subordinated Financials Fund,2020-03-13,"Goldman Sachs Group, Inc.",272547,-1033,133178837.65,36.13,237.41,454.81
Impact Credit Strategies Fund,2018-11-01,Vestas Wind Systems A/S,719627,4994,418421912.8,375.55,991.53,665.78
Sustainable Retail Fund,2018-11-03,"The Hain Celestial Group, Inc.",994870,4193,111548972.25,240.45,860.47,354.79
Equity Diversified Selection Fund,2019-02-01,"Netflix, Inc.",572471,-3187,34696953.75,943.34,388.56,539.81
Fixed Maturity 2025 Bond Fund,2022-02-21,Exxon Mobil Corp.,174114,4797,124709380.29,915.82,656.38,48.13
Equity Diversified Selection Fund,2017-04-27,Google LLC,186555,8588,448726814.76,239.05,413.26,406.69
Fixed Maturity 2027 Bond Fund,2017-06-15,Ford Motor Co.,381466,211,1818344.17,319.57,507.65,284.2
Fixed Maturity 2025 Bond Fund,2022-01-01,Chevron Corp.,33145,-3069,213576054.73,700.36,730.53,540.75
Community Savings Bond Fund,2020-10-10,Nestlé SA,20401,5192,431738653.51,107.47,353.76,473.95
Sustainable Retail Fund,2022-01-02,"Tesla, Inc.",189670,2223,177250475.22,547.4,459.96,71.53
Sustainable Retail Fund,2021-07-26,"The Hain Celestial Group, Inc.",226412,-910,391697735.3,318.68,531.89,734.01
Equity Diversified Selection Fund,2020-09-15,"Netflix, Inc.",418560,-321,339326520.33,328.32,981.57,560.74
Fixed Maturity 2025 Bond Fund,2020-11-22,Chevron Corp.,488774,-9533,349296913.02,975.49,300.15,388.09
