LP,FUND,VINTAGE,TOTAL_COMMITMENT_EU,COMMITMENT_CALLED_EU,COMMITMENT_UNCALLED_EU,DISTRIBUTED_EU,RECALLABLE_EU,NAV_EU,SFDR,ASSET_CLASS,COMMENTAIRES
CUSHMAN & WAKEFIELD,Global Short Term Credit Fund,2021,12,5,7,2,1,94,9,Private Debt,
CUSHMAN & WAKEFIELD,International Fixed Duration Fund,2024,123,65,57,18,2,98,9,Private Debt,
CUSHMAN & WAKEFIELD,Community Savings Bond Fund,2021,63,46,17,3,0,78,8,Private Debt,
CUSHMAN & WAKEFIELD,European High Yield Bond Fund,2021,148,92,57,44,15,77,9,Private Debt,
CUSHMAN & WAKEFIELD,Fixed Maturity 2027 Bond Fund,2019,138,62,76,4,1,44,9,Private Debt,
CUSHMAN & WAKEFIELD,Fixed Maturity 2025 Bond Fund,2020,325,76,248,26,4,24,8,Private Equity,
CUSHMAN & WAKEFIELD,Target Maturity 2029 Bond Fund,2020,426,218,208,13,6,83,6,Private Equity,
CUSHMAN & WAKEFIELD,Impact Credit Strategies Fund,2024,440,66,374,15,3,2,9,Private Equity,
CUSHMAN & WAKEFIELD,Global Cross Asset Fund,2020,383,187,196,34,10,88,8,Private Equity,
CUSHMAN & WAKEFIELD,Equity Diversified Selection Fund,2024,499,224,275,0,0,82,9,Private Equity,
JLL,Global Short Term Credit Fund,2018,86,32,54,13,4,40,9,Private Equity,
JLL,International Fixed Duration Fund,2022,157,72,86,35,11,61,6,Private Debt,
JLL,Community Savings Bond Fund,2017,346,312,35,51,12,45,6,Private Equity,
JLL,European High Yield Bond Fund,2020,46,32,14,10,5,39,8,Private Debt,
JLL,Fixed Maturity 2027 Bond Fund,2024,262,224,38,23,11,51,8,Private Equity,
JLL,Fixed Maturity 2025 Bond Fund,2022,365,153,212,49,2,41,6,Private Equity,
JLL,Target Maturity 2029 Bond Fund,2017,304,97,207,25,12,45,8,Private Equity,
JLL,Impact Credit Strategies Fund,2022,290,215,76,44,17,37,9,Private Equity,
JLL,Global Cross Asset Fund,2017,266,94,171,39,15,43,6,Private Equity,
JLL,Equity Diversified Selection Fund,2020,490,6,484,1,0,69,9,Private Debt,
BNP PARIBAS REAL ESTATE,Global Short Term Credit Fund,2020,352,208,144,44,14,84,9,Private Equity,
BNP PARIBAS REAL ESTATE,International Fixed Duration Fund,2024,334,44,290,17,3,18,8,Private Equity,
BNP PARIBAS REAL ESTATE,Community Savings Bond Fund,2018,459,240,219,80,23,85,9,Private Debt,
BNP PARIBAS REAL ESTATE,European High Yield Bond Fund,2018,352,154,198,20,2,20,6,Private Equity,
BNP PARIBAS REAL ESTATE,Fixed Maturity 2027 Bond Fund,2024,123,85,38,12,2,61,6,Private Equity,
BNP PARIBAS REAL ESTATE,Fixed Maturity 2025 Bond Fund,2022,64,16,47,1,0,66,8,Private Debt,
