VENDORID,PASSENGER_COUNT,TRIP_DISTANCE,RATECODEID,STORE_AND_FWD_FLAG,PULOCATIONID,DOLOCATIONID,PAYMENT_TYPE,FARE_AMOUNT,EXTRA,MTA_TAX,TIP_AMOUNT,TOLLS_AMOUNT,IMPROVEMENT_SURCHARGE,TOTAL_AMOUNT,CONGESTION_SURCHARGE,AIRPORT_FEE,TPEP_PICKUP_DATETIME,TPEP_DROPOFF_DATETIME,TRIP_ID
1,1,3.2,1,N,48,262,1,14.0,0.5,0.5,3.06,0.0,0.3,18.36,,,2016-01-01 00:12:22,2016-01-01 00:29:14,0
1,2,1.0,1,N,162,48,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,,,2016-01-01 00:41:31,2016-01-01 00:55:10,1
1,1,0.9,1,N,246,90,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,,,2016-01-01 00:53:37,2016-01-01 00:59:57,2
1,1,0.8,1,N,170,162,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,,,2016-01-01 00:13:28,2016-01-01 00:18:07,3
1,1,1.8,1,N,161,140,2,11.0,0.5,0.5,0.0,0.0,0.3,12.3,,,2016-01-01 00:33:04,2016-01-01 00:47:14,4
1,1,2.3,1,N,141,137,1,11.0,0.5,0.5,2.45,0.0,0.3,14.75,,,2016-01-01 00:49:47,2016-01-01 01:04:44,5
1,1,13.8,1,N,100,53,2,43.0,0.5,0.5,0.0,0.0,0.3,44.3,,,2016-01-01 00:41:58,2016-01-01 01:22:06,6
2,5,3.46,1,N,48,79,2,20.0,0.5,0.5,0.0,0.0,0.3,21.3,,,2016-01-01 00:25:28,2016-01-01 00:55:46,7
2,4,0.83,1,N,79,107,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,,,2016-01-01 00:56:57,2016-01-01 01:02:24,8
2,1,0.87,1,N,164,164,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,,,2016-01-01 00:10:08,2016-01-01 00:23:05,9
2,1,1.25,1,N,68,234,1,7.5,0.5,0.5,2.2,0.0,0.3,11.0,,,2016-01-01 00:44:33,2016-01-01 00:53:37,10
2,1,1.66,1,N,234,233,1,9.0,0.5,0.5,0.0,0.0,0.3,10.3,,,2016-01-01 00:56:47,2016-01-01 01:07:48,11
1,2,2.6,1,N,229,239,2,11.0,0.5,0.5,0.0,0.0,0.3,12.3,,,2016-01-01 00:12:44,2016-01-01 00:24:53,12
1,2,2.3,1,N,239,236,1,9.5,0.5,0.5,1.75,0.0,0.3,12.55,,,2016-01-01 00:27:11,2016-01-01 00:37:00,13
1,2,1.7,1,N,236,141,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,,,2016-01-01 00:47:28,2016-01-01 00:56:50,14
1,1,2.6,1,N,43,238,2,10.5,0.5,0.5,0.0,0.0,0.3,11.8,,,2016-01-01 00:02:54,2016-01-01 00:14:04,15
1,1,1.0,1,N,239,143,1,6.5,0.5,0.5,1.95,0.0,0.3,9.75,,,2016-01-01 00:19:09,2016-01-01 00:25:20,16
1,1,8.8,1,N,143,232,1,28.5,0.5,0.5,7.0,0.0,0.3,36.8,,,2016-01-01 00:26:54,2016-01-01 00:55:27,17
1,1,1.0,1,N,164,107,1,6.5,0.5,0.5,1.0,0.0,0.3,8.8,,,2016-01-01 00:19:36,2016-01-01 00:26:16,18
1,1,1.2,1,N,107,90,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,,,2016-01-01 00:27:55,2016-01-01 00:36:39,19
