asin,brand,categories,description,imUrl,price,related_also_bought,related_also_viewed,related_bought_together,related_buy_after_viewing,salesRank_Books,salesRank_Clothing,salesRank_Movies & TV,salesRank_Music,salesRank_Musical Instruments,salesRank_Sports &amp; Outdoors,salesRank_Toys & Games,title
0001048791,,Books,,http://ecx.images-amazon.com/images/I/51MKP0T4DBL.jpg,,,,,,6334800,,,,,,,"The Crucible: Performed by Stuart Pankin, Jerome Dempsey &amp; Cast"
0000143561,,Movies & TV|Movies,"3Pack DVD set - Italian Classics, Parties and Holidays.",http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-sm._CB192198896_.gif,12.99,,"B0036FO6SI,B000KL8ODE,000014357X,B0037718RC,B002I5GNVU,B000RBU4BM",,"B0036FO6SI,B000KL8ODE,000014357X,B0037718RC",,,376041,,,,,"Everyday Italian (with Giada de Laurentiis), Volume 1 (3 Pack): Italian Classics, Parties, Holidays"
0000037214,Big Dreams,"Clothing, Shoes & Jewelry|Girls;Clothing, Shoes & Jewelry|Novelty, Costumes & More|Costumes & Accessories|More Accessories|Kids & Baby",,http://ecx.images-amazon.com/images/I/31mCncNuAZL.jpg,6.99,,"B00JO8II76,B00DGN4R1Q,B00E1YRI4C",,,,1233557,,,,,,Purple Sequin Tiny Dancer Tutu Ballet Dance Fairy Princess Costume Accessory
0000032069,BubuBibi,Sports & Outdoors|Other Sports|Dance|Clothing|Girls|Skirts,,http://ecx.images-amazon.com/images/I/51EzU6quNML._SX342_.jpg,7.89,"0000032050,B00D0DJAEG,0000032042,B00D0F450I,B00D2JTMS2,B00D0FDUAY,B00D2JSRFQ,0000032034,B00D0D5F6S,B00D2JRWWA,B00D0FIIJM,B00D0FCQQI,B00EXVN9PU,B0041EOTJO,B004PYEE8G,B001GTKPDQ,B00EON0SJ2,B005HMHOQ4,B002XZMGGQ","B00D0F450I,0000032050,B00D2JTMS2,0000032042,B004PYEE8G,B00JHNSNSM,B00D0DJAEG,B00D2JSRFQ,B00D0FCQQI,B00D2JRWWA,B003AVNY6I,B0071KR2LC,B00GOR07RE,B00D0FIIJM,B005F50FXC,B0079MCIMU,B00D0FDUAY,B00H3RYN3I,B005C4Y4F6,B007IEFT84,B00D0D5F6S,B002BZX8Z6,B00JHONN1S,B008F0SU0Y,B00FNNFXAG,B007R2RM8W,B007VM3AMK,B00C0PLENA,B00BJGG6VG,B00E1YRI4C,B00IIK61WA,B009UC638W,B00KZN6RVI,B00CSFEENY,B002GZGI4E,B00HSOJJ94,B00LIPP4VG,B009RXWNSI,B00E87F196,B005HMHOQY,B00J6S9MSS,0000032034,B00CJQGNJK,B008FCA0F0,B0056LG7GY,B00DPQWCZ2,B00I3PV0US,B00KZN6IVW,B0054TBWKO,B00I2S01I8,B00BXF12P8,B00GVHU678,B005NWENGC,B003AVKOP2,B00JK8MQ4Q,B00FZIMVQS,B008BB19VE,B00GTEXPOE,B009WPT2RQ,B00E37SBBG","0000032050,B00D0DJAEG,0000032042,B00D0F450I",,,,,,,,,Adult Ballet Tutu Cheetah Pink
0000031909,Unknown,Sports & Outdoors|Other Sports|Dance,High quality 3 layer ballet tutu. 12 inches in length,http://ecx.images-amazon.com/images/I/41xBoP0FVzL._SY300_.jpg,7.0,"B002BZX8Z6,B00JHONN1S,0000031895,B00D2K1M3O,0000031852,B00D0WDS9A,B00D10CLVW,B00D103F8U,B003AVEU6G,B00D2K0PA0,B002GZGI4E,B00D0ZF44Y,B008F0SMUC,B00D0GCI8S,B008F0SU0Y,B002YSCPZY,0448408775,B002R0FABA,B008GHWNWC,B002R0FA24,B001GTKPEK,B006XA7KZO,B001GZUQ9S,B00613VNL0,B003IEDM9Q,B003LTOZK8,B003AVNY6I,B008UBQZKU,B001AQD8VQ,B003ILA0L2,B00AFDOPDA,B002R0F7FE","B002BZX8Z6,B00JHONN1S,B008F0SU0Y,B00E1YRI4C,B00AFDOPDA,B002GZGI4E,B00CEUWY8K,B003IEDM9Q,B00HSOJB9M,0000031895,B003AVKOP2,B005C4Y4F6,B008F0SMUC,B00362QGW0,B008UD01L2,B00FAZ5ZE6,B008F0SY6O,B00DPLLQR2,B00CEUWUZC,B004PYEE8G,B003AVNY6I,B00CEUX0D8,B00JHNSNSM,B00D10CLVW,B00D23MC6W,B007XAI53E,B008X6CBS2,B004PEI45U,B005HMHOQ4,B002C3Y6WG,B00HSC8O74,B008BMGHM4,B00CEUWTFS,B00FNNFXAG,B00CYBU84G,B00D9C32NI,B0046W9T8C,B008UBG5IW,B001YHX45G,B00CEV8366,B00I2UHSZA,B009RXWNSI,B008FCA0F0,B001GTKPEK,B004TU1VPU,B00CBPIO7S,B00CHHXJ0M,B00538F5OK,B005F50FXC,B00CEUX4QQ,B003XRKA7A,0000031852,B002C3R5XI,B00C6Q1Z6E",B002BZX8Z6,,,,,,,,201847,Girls Ballet Tutu Neon Pink
0000032034,BubuBibi,Sports & Outdoors|Other Sports|Dance|Clothing|Girls|Skirts,,http://ecx.images-amazon.com/images/I/21GNUNIa1CL.jpg,7.87,"B00D2JSRFQ,0000032042,0000032050,B00D2JTMS2,B00D0FDUAY,B00D0FIIJM,B00D2JRWWA,B00D0F450I,B00D0FCQQI,B00H3RYN3I,B002I55DT8,B00498HUQ6,B001YZCF1M,B00FNNFXAG,B00EON0SJ2,B000J09OV2,B0048WRX5G,B00I2EOG92,B003UM99FC,B00D0DJAEG,0000032069,B00I2S01I8,B003AVKOP2,B003CPDAUW,B005HMHOQ4,B00JHONN1S,B00GOR07RE,B007TMMVJA,B00DPPRW2G,B0089ND408,B0046W9T8C,B005HMHOQE,B00EOOR812,B00CLZWXYI,B008AU29UQ,B00BNRKT6E,B004YHFSIO,B00EB5WN9Q,B008UBQZKU,B00D0D5F6S,B004PYEE8G,B00FQU9ZUA,B008AABRPO,B007BZ5CUA,B00I5SCG7E,B0036LOTNO,B009WPT2SA,B009QVCTTY,B00KZN5J8U,B008B81LN8,B00E1YRI4C,B004SVOVSE,B002I4ZJ1Q,B005AZMN3C,B00BBQFGWO,B009QVQZ3K,B005C4Y4F6,B008CLA6HG,B0085D9V1S,B000M55BDY,B00FE9DIHO,B009QVWIQ8,B00LIPP114,B001YHX45G,B00BN6S8WC,B009MDB6FE,B007AK1KTS,B00J6LZ16M,B002FRPE9I,B002RHLXKU,B006F404KQ,B00362OQQI,B003UNHJ4Y,B00D10CLVW,B002BZX8Z6,B0041EOTJO,B00F3KZUPC,B0055A1F4A,B0035BGVYU,B000P18LZ0,B007F2H4PU,B004XHVUE6,B00KF54D6W,B0097B1D8G,B00840TWES,B0050GAHKC,B00I9JSUO2,B003HCYEQY,B0075CNY7M,B00AFDOPDA,B008FCA0F0,B000IRG356,B00DSVBR7S,B00DYIQ8E2,B0041BVA80,B009M7FWBE","B00D2JSRFQ,0000032050,B00JHNSNSM,0000032042,B00D2JTMS2,B003AVKOP2,B004YHFSIO,B00GOR07RE,B00D0FDUAY,B004PYEE8G,B00D0FCQQI,B009WPT2SA,B003AVNY6I,B00EON0SJ2,B005C4Y4F6,B00D0FIIJM,B00FNNFXAG,B00D0F450I,B00D2JRWWA,B008F0SU0Y,B00JHONN1S,B00FE9DIHO,B0071KR2LC,B00H3RYN3I,B00IIK61WA,B00D0DJAEG,B00KZN6RVI,B0054TBWKO,B00GEDG8D0,B00JMX4CCS,B00K18LJ6U,B0079MCIMU,B005HMHOQY,B009RXWNSI,B007XAI4LW,B007IEFTO8,B00E1YRI4C,B007R2RM8W,B002BZX8Z6,B00IIK61UW,B008F0SMUC,B00KF54D6W,B00E1Q66BG,B003WFSLBA,B00IJVASUE,B00DPPRW2G,B00HAVJ48G,B002C3Y6WG,B00I5RLL4Y,B003AVEU6G,B00E95LC8Q,B005F50FXC,B002U03H1M,B00E87F196,B008A7TFK6,B00HSOJB9M,B008A7TFGK,B00DPYOB2Q,0375851682,B00CSFEENY","B00D2JSRFQ,0000032050,0000032042,B00D2JTMS2",,,,,,,,,Adult Ballet Tutu Yellow
0001048775,,Books,"William Shakespeare is widely regarded as the greatest playwright the world has seen. He produced an astonishing amount of work; 37 plays, 154 sonnets, and 5 poems. He died on 23rd April 1616, aged 52, and was buried in the Holy Trinity Church, Stratford.",http://ecx.images-amazon.com/images/I/5166EBHDQYL.jpg,,,,,,13243226,,,,,,,Measure for Measure: Complete &amp; Unabridged
0000031852,Coxlures,Sports & Outdoors|Other Sports|Dance,TUtu,http://ecx.images-amazon.com/images/I/51fAmVkTbyL._SY300_.jpg,3.17,"B00JHONN1S,B002BZX8Z6,B00D2K1M3O,0000031909,B00613WDTQ,B00D0WDS9A,B00D0GCI8S,0000031895,B003AVKOP2,B003AVEU6G,B003IEDM9Q,B002R0FA24,B00D23MC6W,B00D2K0PA0,B00538F5OK,B00CEV86I6,B002R0FABA,B00D10CLVW,B003AVNY6I,B002GZGI4E,B001T9NUFS,B002R0F7FE,B00E1YRI4C,B008UBQZKU,B00D103F8U,B007R2RM8W","B002BZX8Z6,B00JHONN1S,B008F0SU0Y,B00D23MC6W,B00AFDOPDA,B00E1YRI4C,B002GZGI4E,B003AVKOP2,B00D9C1WBM,B00CEV8366,B00CEUX0D8,B0079ME3KU,B00CEUWY8K,B004FOEEHC,0000031895,B00BC4GY9Y,B003XRKA7A,B00K18LKX2,B00EM7KAG6,B00AMQ17JA,B00D9C32NI,B002C3Y6WG,B00JLL4L5Y,B003AVNY6I,B008UBQZKU,B00D0WDS9A,B00613WDTQ,B00538F5OK,B005C4Y4F6,B004LHZ1NY,B00CPHX76U,B00CEUWUZC,B00IJVASUE,B00GOR07RE,B00J2GTM0W,B00JHNSNSM,B003IEDM9Q,B00CYBU84G,B008VV8NSQ,B00CYBULSO,B00I2UHSZA,B005F50FXC,B007LCQI3S,B00DP68AVW,B009RXWNSI,B003AVEU6G,B00HSOJB9M,B00EHAGZNA,B0046W9T8C,B00E79VW6Q,B00D10CLVW,B00B0AVO54,B00E95LC8Q,B00GOR92SO,B007ZN5Y56,B00AL2569W,B00B608000,B008F0SMUC,B00BFXLZ8M",B002BZX8Z6,,,,,,,,211836,Girls Ballet Tutu Zebra Hot Pink
0001048813,,Books,,http://ecx.images-amazon.com/images/I/41k5u0lr6NL.jpg,,,,,,,,,,,,,Archer Christmas 4 Tape Pack
0001148427,,Books,,http://ecx.images-amazon.com/images/I/41tN4KuOXkL.jpg,,,,,,5806769,,,,,,,Sonatas - For Piano
