ABCIN,physical_inventory_indicator,Physical Inventory Indicator for Cycle Counting
ABFAC,air_bouyancy_factor,Air Bouyancy Factor
ABGRU,reason_for_rejection,Reason for Rejection of Sales Documents
ABLAD,unloading_point,Unloading Point
ABSTA,rejection_status,Rejection Status (Item)
ABUEB,release_creation_profile,Release Creation Profile
ADDR_SHORT_S,short_formatted_address,One-line short form of formatted address
ADDR_SHORT,formatted_address,One-line short form of formatted address
ADDRCOMM,address_number,Address Number
ADDRNUMBER,address,Address Number
ADRNR,address,Address
AEDAT,changed_on,Date of Last Change
AEKLK,net_change_costing,Stock Transfer Net Change Costing
AENAM,changed_by,Name of person who changed object
AESZN,document_change_number,Document change number (without document management system)
AFNAM,requisitioner,Name of requisitioner/requester
AGREL,settlement_management,Indicator: Relevant for Settlement Management
AKONT,reconciliation_account,Reconciliation Account in General Ledger
AKSTL,requesting_cost_center,Requesting cost center
AKTIV,asset_capitallization_date,Asset Capitalization Date
AKTNR,promotion,Promotion
AKTWE,current_goods_receipt_quantity,Current goods receipt quantity in order unit
ALAV,shipping_notified,Points score: Shipping notif. GR date - notified date
ALIEF,deliveries_number,Number of deliveries
ALTITUDE,geo_location_height,Geo location height
ALTKN,previous_account_number,Previous Master Record Number
ALTSL,selection_method,Method for Selecting Alternative Bills of Material
ANGDT,quotation_valid_from,Quotation/Inquiry is Valid From
ANLKL,asset_class,Asset Class
ANLN1,main_asset_number,Main Asset Number
ANLN2,asset_subnumber,Asset Subnumber
ANLUE,asset_super_number,Asset Super Number
ANRED,title,Title
ANTLF,maximum_partial_deliveries,Maximum Number of Partial Deliveries Allowed Per Item
ANZAU,number_of_orders,Number of Orders
ANZAUPO,order_items,Number of Order Items
ANZFK,number_billing_documnets,No.of billing docs
ANZFKPOS,number_billing_items,Number of billing items
ANZLI,number_deliveries,No. of deliveries
ANZLIPOS,number_delivery_items,Number of delivery items
APLAL,group_counter,Group Counter
APOPLANNED,planning_in_apo,Planning in APO
APRIO,order_priority,Order priority
ARECH,invoices,Number of Invoices for Suppliers
AREWR,gr_ir_clearing_value_lc,GR/IR account clearing value in local currency
AREWW,gr_ir_clearing_value_fc,Clearing value on GR/IR clearing account (transac. currency)
ARKUEMW,tax_invoice_reduction,Sales Tax Portion of Automatic Invoice Reduction Amount
ARKUEN,automatic_invoice_reduction,Automatic Invoice Reduction Amount (Net)
ATPKZ,replacement_part,Replacement part
ATTYP,material_category,Material Category
AUART,sales_document_type,Sales Document Type
AUBEL,sales_document,Sales Document
AUFNR,order_number,Order Number
AUFPL,operation_task_list_number,Routing number of operations in the order
AUFSD,order_block_sales_area,Customer order block (sales area)
AUFTL,splitting_indicator,Splitting Indicator
AUGBL,clearing_document,Document Number of the Clearing Document
AUGDT,order_reason,Clearing Date
AUGRU,order_reason,Order Reason (Reason for the Business Transaction)
AUPOS,sales_document_item,Sales Document Item
AUSDT,effective_out_date,Effective-Out Date
AUSME,unit_of_issue,Unit of issue
AUSSS,assembly_scrap,Assembly scrap in percent
AUTLF,complete_delivery,Complete Delivery Defined for Each Sales Order?
AUTRU,reset_automatically,Reset Forecast Model Automatically
AUTYP,order_category,Order category
AWAHR,order_probability,Order Probability of the Item
AWBUK,reference_company_code,Company Code for Reference Document Number
AWGJA,reference_document_year,Document Year for Reference Document Number
AWKEY,object_key,Object key
AWKOK,reference_controlling_area,Controlling Area for Reference Document Number
AWREF,reference_document,Reference document number
AWSLS,variance_key,Variance Key
AWTYP,reference_procedure,Reference procedure
BAHNS,train_station,Train station
BASE_UNIT,base_unit_of_measure,Base Unit of Measure
BASME,base_unit_of_measure_1,Base Unit of Measure for BOM
