CUSTOMER_ID,ORDER_ID,ORDER_TS,ORDER_CURRENCY,ORDER_AMOUNT,ORDER_TAX,ORDER_TOTAL
208,86050995,2020-05-29,USD,17.12,4.28,21.4
986,86050996,2020-05-29,USD,31.12,7.78,38.9
990,86050997,2020-05-29,USD,16.12,4.03,20.15
714,86050998,2020-05-29,USD,9.05,2.2625,11.3125
610,86050999,2020-05-29,USD,27.73,6.9325,34.6625
162,86051000,2020-05-29,USD,42.7,10.675,53.375
900,86051001,2020-05-29,USD,29.31,7.3275,36.6375
566,86051002,2020-05-29,USD,8.28,2.07,10.35
209,86051003,2020-05-29,USD,13.57,3.3925,16.9625
844,86051004,2020-05-29,USD,33.75,8.4375,42.1875
881,86051005,2020-05-29,USD,10.64,2.66,13.3
920,86051006,2020-05-29,USD,37.58,9.395,46.975
715,86051007,2020-05-29,USD,13.46,3.365,16.825
788,86051008,2020-05-29,USD,9.45,2.3625,11.8125
728,86051009,2020-05-29,USD,26.96,6.74,33.7
622,86051010,2020-05-29,USD,17.39,4.3475,21.7375
950,86051011,2020-05-29,USD,8.87,2.2175,11.0875
704,86051012,2020-05-29,USD,45.34,11.335,56.675
495,86051013,2020-05-29,USD,9.86,2.465,12.325
145,86051014,2020-05-29,USD,13.79,3.4475,17.2375
970,86051015,2020-05-29,USD,6.8,1.7,8.5
645,86051016,2020-05-29,USD,48.69,12.1725,60.8625
549,86051017,2020-05-29,USD,13.6,3.4,17
717,86051018,2020-05-29,USD,15.57,3.8925,19.4625
154,86051019,2020-05-29,USD,14.39,3.5975,17.9875
214,86051020,2020-05-29,USD,19.9,4.975,24.875
685,86051021,2020-05-29,USD,14.98,3.745,18.725
230,86051022,2020-05-29,USD,17.39,4.3475,21.7375
957,86051023,2020-05-29,USD,17.62,4.405,22.025
348,86051024,2020-05-29,USD,4.73,1.1825,5.9125
966,86051025,2020-05-29,USD,17.01,4.2525,21.2625
826,86051026,2020-05-29,USD,15.14,3.785,18.925
280,86051027,2020-05-29,USD,17.19,4.2975,21.4875
612,86051028,2020-05-29,USD,42.71,10.6775,53.3875
425,86051029,2020-05-29,USD,6.39,1.5975,7.9875
522,86051030,2020-05-29,USD,9.63,2.4075,12.0375
317,86051031,2020-05-29,USD,4.73,1.1825,5.9125
528,86051032,2020-05-29,USD,6.48,1.62,8.1
810,86051033,2020-05-29,USD,11.11,2.7775,13.8875
258,86051034,2020-05-29,USD,19.19,4.7975,23.9875
687,86051035,2020-05-29,USD,21.9,5.475,27.375
711,86051036,2020-05-29,USD,20.4,5.1,25.5
53,86051037,2020-05-29,USD,25.74,6.435,32.175
3,86051038,2020-05-29,USD,10.65,2.6625,13.3125
893,86051039,2020-05-29,USD,4.26,1.065,5.325
142,86051040,2020-05-29,USD,14.35,3.5875,17.9375
268,86051041,2020-05-29,USD,19.9,4.975,24.875
558,86051042,2020-05-29,USD,11.91,2.9775,14.8875
330,86051043,2020-05-29,USD,26.92,6.73,33.65
757,86051044,2020-05-29,USD,29.8,7.45,37.25
134,86051045,2020-05-29,USD,10.53,2.6325,13.1625
563,86051046,2020-05-29,USD,32.72,8.18,40.9
59,86051047,2020-05-29,USD,10.25,2.5625,12.8125
557,86051048,2020-05-29,USD,42.57,10.6425,53.2125
593,86051049,2020-05-29,USD,48.54,12.135,60.675
436,86051050,2020-05-29,USD,44.16,11.04,55.2
302,86051051,2020-05-29,USD,20.75,5.1875,25.9375
391,86051052,2020-05-29,USD,8.87,2.2175,11.0875
912,86051053,2020-05-29,USD,41.5,10.375,51.875
122,86051054,2020-05-29,USD,11.83,2.9575,14.7875
677,86051055,2020-05-29,USD,15.94,3.985,19.925
648,86051056,2020-05-29,USD,34.66,8.665,43.325
21,86051057,2020-05-29,USD,3.55,0.8875,4.4375
959,86051058,2020-05-29,USD,41.5,10.375,51.875
516,86051059,2020-05-29,USD,8.28,2.07,10.35
231,86051060,2020-05-29,USD,18.72,4.68,23.4
263,86051061,2020-05-29,USD,32.45,8.1125,40.5625
609,86051062,2020-05-29,USD,11.82,2.955,14.775
664,86051064,2020-05-29,USD,27.07,6.7675,33.8375
222,86051065,2020-05-29,USD,2.55,0.6375,3.1875
350,86051066,2020-05-29,USD,14.96,3.74,18.7
